4733353.7543338016	-4448925.5336747076	1.01472e-01	  397
4680397.0846655006	-4381548.8114854498	1.11880e-02	  782
4657746.4514046405	-4353915.5120481551	4.83947e-03	 1099
4645567.9366657780	-4339725.9026133344	2.61468e-03	 1413
4638935.9908091165	-4331921.6239506956	1.42759e-03	 1664
4634643.9840608994	-4326885.3382084584	9.25214e-04	 2039
4631591.5324842334	-4322937.7734376490	6.58616e-04	 2290
4628603.8660324235	-4319227.0705718892	6.45063e-04	 2601
4626222.1038087504	-4316463.8567379257	5.14575e-04	 2912
4624234.5945991697	-4313955.8002546243	4.29618e-04	 3224
4622625.3402050724	-4312225.7209581854	3.48004e-04	 3473
4621776.4886412472	-4311025.3339795452	1.83630e-04	 3722
4621411.9012209298	-4310660.7465592278	7.88847e-05	 3723
