M, bic, Etr_lkh, ho_lkh, avg_tpc/doc, avg_wrd/tpc, num_unq_wrds, runtime, uv_avg_tpc/doc, uv_avg_wrd/tpc, uv_num_unq_wrds
100, 4621411.90122, -4310660.74656, 1.5582146703362452, 179.21, 7173.0, 3723.0, 1.55821467034, 311.79, 7213.0
95, 4607258.69544, -4293351.8579, 1.3288261337800646, 213.473684211, 7323.0, 1292.0, 1.32882613378, 359.452631579, 7354.0
90, 4602700.66308, -4291597.65786, 1.309082206533445, 225.444444444, 7325.0, 1111.0, 1.30908220653, 379.133333333, 7353.0
85, 4599278.56777, -4292145.17375, 1.3062103625703003, 236.458823529, 7323.0, 927.0, 1.30621036257, 397.082352941, 7352.0
80, 4597074.48206, -4295257.57112, 1.3105181285150174, 246.425, 7294.0, 832.0, 1.31051812852, 413.5875, 7330.0
75, 4595239.34616, -4299578.87438, 1.3156635156156515, 256.76, 7240.0, 868.0, 1.31566351562, 430.546666667, 7276.0
70, 4592965.03779, -4303075.81291, 1.326552590642575, 268.728571429, 7211.0, 758.0, 1.32655259064, 450.385714286, 7250.0
65, 4593172.66965, -4310731.45655, 1.3283474931195405, 280.661538462, 7092.0, 653.0, 1.32834749312, 470.153846154, 7131.0
60, 4595378.06925, -4321017.96382, 1.3287064736149337, 296.033333333, 7008.0, 626.0, 1.32870647361, 492.05, 7053.0
55, 4592882.31636, -4325942.99955, 1.3459375373938016, 312.363636364, 6946.0, 533.0, 1.34593753739, 517.527272727, 6992.0
50, 4592725.10079, -4334640.1758, 1.35622831159507, 328.86, 6853.0, 458.0, 1.3562283116, 545.86, 6896.0
45, 4593568.93111, -4345287.44937, 1.3527581668062703, 354.222222222, 6791.0, 417.0, 1.35275816681, 580.066666667, 6843.0
40, 4595550.60185, -4356922.69882, 1.3573052530812493, 382.175, 6622.0, 338.0, 1.35730525308, 623.8, 6673.0
35, 4602184.04682, -4374878.41799, 1.364843843484504, 414.028571429, 6485.0, 286.0, 1.36484384348, 672.542857143, 6531.0
30, 4607139.30941, -4392876.4872, 1.3790834031350963, 449.933333333, 6305.0, 219.0, 1.37908340314, 730.366666667, 6366.0
25, 4618240.84335, -4419296.10801, 1.3771688404929998, 498.12, 6015.0, 154.0, 1.37716884049, 803.6, 6079.0
20, 4634018.51509, -4454059.77241, 1.3999042718678951, 555.45, 5655.0, 118.0, 1.39990427187, 886.25, 5744.0
15, 4645279.85437, -4486308.76685, 1.403733397152088, 646.333333333, 5232.0, 75.0, 1.40373339715, 1022.33333333, 5343.0
10, 4673354.02263, -4545220.73676, 1.4197678592796459, 730.8, 4140.0, 53.0, 1.41976785928, 1176.9, 4333.0
